177 254 63    178 254 63    178 255 64    
168 177 175    169 173 176    169 176 178    
168 210 207    168 205 206    169 209 211    
168 221 224    168 221 221    169 222 229    
168 222 221    168 223 222    169 223 230    
168 221 222    168 221 224    169 223 229    
168 222 223    168 222 221    169 223 226    
168 223 225    168 222 221    169 221 228    
168 224 225    168 221 220    169 222 230    
168 224 224    168 221 221    169 223 229    
168 221 221    168 222 223    169 223 230    
168 221 221    168 222 223    169 223 230    
168 221 224    168 224 224    169 223 229    
168 221 224    168 224 224    169 223 229    
168 224 224    168 222 223    169 222 229    
168 224 224    168 221 222    169 223 230    
168 223 224    168 222 223    169 226 231    
168 223 224    168 222 223    169 225 232    
168 223 224    168 222 223    169 225 232    
168 223 224    168 222 223    169 225 232    
168 223 224    168 222 223    169 225 232    
168 222 225    168 222 223    169 225 232    
168 222 225    168 222 223    169 226 231    
168 222 225    168 222 223    169 226 231    
168 223 224    168 222 223    169 226 231    
168 223 224    168 222 223    169 226 231    
168 222 223    168 222 223    169 227 231    
168 222 223    168 222 223    169 227 231    
168 221 221    168 222 223    169 227 231    
168 222 220    168 222 223    169 227 231    
168 222 220    169 221 223    169 228 230    
168 222 220    169 221 223    169 228 230    
168 222 218    169 222 225    169 229 231    
168 221 219    169 223 224    169 229 231    
168 221 219    169 223 224    169 229 231    
168 221 219    169 223 224    169 231 229    
168 220 217    169 223 224    169 232 230    
168 221 216    169 224 223    169 232 230    
168 222 215    169 224 223    169 235 230    
168 221 216    169 223 224    169 236 229    
168 221 214    169 224 223    169 237 228    
168 221 214    169 223 224    169 237 228    
168 221 214    169 223 225    170 237 230    
168 221 214    169 223 225    170 237 230    
168 221 214    169 223 225    171 236 232    
168 221 214    169 224 224    171 235 232    
168 221 214    169 225 223    171 235 232    
168 222 213    169 225 223    171 235 232    
168 222 213    169 225 223    171 234 232    
168 222 213    169 225 223    171 234 232    
168 222 213    169 225 223    171 234 232    
168 223 212    169 225 223    171 235 231    
168 222 213    169 225 223    171 233 230    
168 223 212    169 225 223    171 234 229    
168 222 211    169 225 223    170 233 228    
168 222 211    169 226 222    170 232 229    
168 223 211    169 225 223    170 233 226    
168 221 213    169 226 222    170 233 226    
168 221 213    169 227 224    170 232 225    
168 222 212    169 227 224    170 231 226    
168 222 212    169 228 223    170 231 226    
168 222 212    169 228 223    170 231 226    
168 223 211    169 228 223    170 230 225    
168 223 211    169 228 223    170 231 224    
168 223 208    169 228 223    171 231 224    
168 223 208    169 229 222    171 231 224    
168 222 209    170 229 221    170 230 225    
168 222 209    170 229 221    170 230 225    
168 223 208    170 230 222    170 232 223    
168 223 208    170 230 222    170 232 223    
168 221 207    170 231 224    170 230 222    
168 221 207    171 231 224    170 230 222    
168 221 207    171 231 224    170 230 220    
168 221 207    171 231 224    170 230 220    
168 221 207    171 231 225    170 228 219    
168 223 205    171 231 225    170 228 219    
169 222 205    171 231 225    170 226 218    
169 221 206    172 229 226    170 226 218    
169 221 206    172 229 226    170 226 218    
169 221 206    172 227 225    170 226 218    
169 223 202    172 227 222    170 226 218    
169 222 202    172 228 222    171 226 218    
169 223 205    171 228 222    171 227 219    
169 226 206    171 230 217    171 226 218    
169 227 207    170 227 213    171 225 217    
169 229 208    169 225 209    171 225 217    
169 228 211    169 225 207    171 226 218    
169 228 211    169 226 209    171 227 219    
169 227 210    169 230 207    171 225 218    
170 224 211    169 229 208    171 225 218    
171 223 211    169 228 201    171 225 217    
172 222 214    170 222 204    171 224 215    
171 222 214    170 225 201    171 225 213    
171 224 215    174 213 196    179 199 193    
171 224 215    2 204 180    16 197 226    
179 199 198    11 176 234    23 236 208    
16 200 226    19 216 216    23 237 209    
22 235 206    22 238 207    20 219 217    
22 231 207    23 238 207    13 184 235    
19 214 216    17 201 223    5 215 182    
12 183 235    0 197 185    175 207 202    
4 215 179    171 221 200    172 220 212    
175 206 194    171 221 204    173 220 216    
171 216 198    171 220 205    173 219 217    
171 216 198    171 217 204    173 219 215    
171 218 196    172 217 204    173 216 214    
171 213 198    172 219 207    173 218 216    
172 213 198    172 218 208    173 216 214    
172 212 198    172 215 208    174 214 209    
172 211 199    173 214 208    174 213 208    
172 215 198    173 214 208    173 213 209    
172 214 199    173 214 208    173 213 209    
173 210 201    173 212 206    174 212 209    
174 208 205    173 210 206    174 210 207    
174 209 208    174 209 206    174 209 206    
174 210 207    174 210 207    174 208 205    
175 208 207    175 210 210    174 207 203    
175 208 207    175 207 209    174 205 202    
175 206 206    175 206 204    174 203 199    
175 205 207    175 203 200    174 203 197    
175 205 208    175 202 200    175 202 194    
175 205 207    175 202 201    175 201 194    
176 201 205    175 203 204    175 199 192    
176 198 202    176 201 202    176 196 193    
176 197 198    176 197 198    176 195 192    
177 195 197    176 194 195    176 194 193    
176 196 199    176 192 195    176 193 194    
177 193 199    176 191 194    176 192 195    
177 192 196    177 189 191    177 191 193    
177 189 196    177 188 192    177 187 193    
178 187 196    178 185 192    178 184 193    
178 185 194    178 184 193    178 184 193    
178 182 194    178 181 192    178 182 191    
178 181 192    178 181 193    178 181 192    
179 180 191    179 179 192    179 179 192    
179 178 190    179 177 191    179 178 190    
0 174 190    0 175 189    0 175 189    
0 174 190    0 174 190    0 174 190    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 176 188    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 188    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 174 189    0 174 189    0 175 189    
0 173 187    0 174 189    0 175 189    
0 173 187    0 174 188    0 175 189    
0 173 187    0 175 187    0 175 189    
0 173 187    0 175 187    0 175 189    
0 173 187    0 171 187    0 174 188    
0 173 187    0 172 186    0 175 185    
0 172 186    0 172 186    0 174 186    
0 172 186    0 172 186    0 173 187    
0 172 186    0 171 187    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 172 186    0 172 186    0 172 186    
0 175 185    0 172 186    0 172 186    
0 175 185    0 172 186    0 174 186    
0 171 184    0 172 186    1 177 184    
0 171 184    0 173 185    2 180 182    
0 171 184    0 174 184    2 177 185    
0 171 184    0 173 185    1 176 185    
0 171 184    0 171 184    1 180 181    
0 171 184    0 171 184    0 176 182    
0 171 184    0 171 184    0 174 184    
0 171 184    0 171 184    0 174 184    
0 172 183    0 172 183    0 170 185    
0 172 183    0 171 184    0 171 184    
0 171 184    0 171 184    0 172 183    
0 171 184    0 172 183    0 172 183    
0 171 184    0 172 183    0 172 183    
0 171 184    0 171 184    0 172 183    
0 171 184    0 171 184    0 171 184    
0 172 183    0 172 183    0 171 184    
0 172 183    0 172 183    0 171 184    
0 172 183    0 172 183    0 171 184    
0 172 183    0 172 183    0 172 183    
0 172 183    0 172 183    0 172 183    
0 172 183    0 172 182    0 172 183    
0 172 183    0 172 182    0 172 183    
0 174 184    0 172 183    0 172 183    
0 174 184    0 172 183    0 172 183    
0 174 184    0 173 185    0 172 183    
0 174 184    0 173 185    0 172 183    
0 174 184    0 172 186    0 173 182    
0 174 184    0 173 185    0 173 182    
0 174 184    0 172 183    0 172 182    
0 174 184    0 172 182    0 172 182    
0 174 184    0 171 180    0 172 182    
0 173 185    0 170 181    0 172 182    
